#,Title,Category,Language,Type,URL,Video / Playlist ID,Watched?,Rating,Notes
36,Noah B.E. Church (channel),NoFap / Reboot,English,Channel,https://www.youtube.com/@noahb.e.church,@noahb.e.church,,,
37,How Porn Hooks Your Brain - The Addiction Loop Explained,Neuroscience,English,Short,https://www.youtube.com/shorts/F_tNVNPpPkU,F_tNVNPpPkU,,,
38,Part 4: Dopamine: The Molecule of Addiction | Your Brain on Porn | Animated Series,Neuroscience,English,Video,https://www.youtube.com/watch?v=bdiMFQk_aW8,bdiMFQk_aW8,,,
39,"#033 - Porn Addiction: Dopamine, Disgust, and Erectile Dysfunction (Gary Wilson)",Neuroscience,English,Video,https://www.youtube.com/watch?v=EVFrMoN9pik,EVFrMoN9pik,,,
40,"How Porn Addiction Rewires Your Brain and Destroys Intimacy, Doctor Explains",Neuroscience,English,Video,https://www.youtube.com/watch?v=vziyvvWW4eA,vziyvvWW4eA,,,
41,Porn Addiction Is Not About Sex - Neuroscience Explained,Neuroscience,English,Video,https://www.youtube.com/watch?v=owvcbahb1IE,owvcbahb1IE,,,
42,Why Porn Is Addictive: Dopamine And Brain Chemistry Explained,Neuroscience,English,Video,https://www.youtube.com/watch?v=1n7LQt8wTKs,1n7LQt8wTKs,,,
43,Part 1-5: Your Brain on Porn | Animated Series (full),Your Brain on Porn (Gary Wilson),English,Video,https://www.youtube.com/watch?v=i6gk4lW1hPo,i6gk4lW1hPo,,,
44,Part 1: Introduction | Your Brain on Porn | Animated Series,Your Brain on Porn (Gary Wilson),English,Video,https://www.youtube.com/watch?v=e2mhQf8RjQs,e2mhQf8RjQs,,,
45,Part 2: The Coolidge Effect | Your Brain on Porn | Animated Series,Your Brain on Porn (Gary Wilson),English,Video,https://www.youtube.com/watch?v=EQuppzt1yEc,EQuppzt1yEc,,,
46,Part 3: The Reward Circuit | Your Brain on Porn | Animated Series,Your Brain on Porn (Gary Wilson),English,Video,https://www.youtube.com/watch?v=uSEo2miwnZQ,uSEo2miwnZQ,,,
47,Part 5: Pornography Addiction Test | Your Brain on Porn | Animated Series,Your Brain on Porn (Gary Wilson),English,Video,https://www.youtube.com/watch?v=26_BGVm2M0k,26_BGVm2M0k,,,
48,Your Brain On Porn (Animated Summary) | Gary Wilson,Your Brain on Porn (Gary Wilson),English,Video,https://www.youtube.com/watch?v=mDwE8jYnw2M,mDwE8jYnw2M,,,
49,Your Brain on Porn by Gary Wilson - Book Summary,Your Brain on Porn (Gary Wilson),English,Video,https://www.youtube.com/watch?v=yZK6eZCYH1Y,yZK6eZCYH1Y,,,
50,Remembering Gary Wilson of Your Brain On Porn: My Friend & Hero,Your Brain on Porn (Gary Wilson),English,Video,https://www.youtube.com/watch?v=kXaqKRbKfog,kXaqKRbKfog,,,
51,Part 3: The Reward Circuit | Your Brain on Porn in Urdu | Animated Series,Your Brain on Porn (Gary Wilson),Urdu,Video,https://www.youtube.com/watch?v=AHEhXjEvU3A,AHEhXjEvU3A,,,
52,Gary Wilson | Your Brain On Porn (Episode 158),Your Brain on Porn (Gary Wilson),English,Video,https://www.youtube.com/watch?v=xL2gHbpPMtg,xL2gHbpPMtg,,,
53,Porn Addiction Is Misunderstood: How To Actually Stop - Dr. K Healthy Gamer,Dr. K / HealthyGamerGG,English,Video,https://www.youtube.com/watch?v=y1CkUhfHSxQ,y1CkUhfHSxQ,,,
54,Helping Viewers with Porn Addiction,Dr. K / HealthyGamerGG,English,Video,https://www.youtube.com/watch?v=e1ndqAkiQZo,e1ndqAkiQZo,,,
55,Why Pornography Addiction is MISUNDERSTOOD (It's NOT What You Think) With Dr K,Dr. K / HealthyGamerGG,English,Video,https://www.youtube.com/watch?v=jWIWFB3Ber8,jWIWFB3Ber8,,,
56,The Neuroscience Of Porn Addiction: How To Actually Stop - Dr. K Healthy Gamer,Dr. K / HealthyGamerGG,English,Video,https://www.youtube.com/watch?v=jR1IDcdC2DM,jR1IDcdC2DM,,,
57,Dr. K Healthy Gamer Talks About Porn Addiction,Dr. K / HealthyGamerGG,English,Video,https://www.youtube.com/watch?v=qlQx-Dk7Q3E,qlQx-Dk7Q3E,,,
58,Sexuality and Porn | Healthy Gamer (playlist),Dr. K / HealthyGamerGG,English,Playlist,https://www.youtube.com/playlist?list=PLYxtGyYUCbEEcbuWAXjOsqp8iB0Lf3K8_,PLYxtGyYUCbEEcbuWAXjOsqp8iB0Lf3K8_,,,
59,How your diet combats p**n addiction,Dr. K / HealthyGamerGG,English,Video,https://www.youtube.com/watch?v=Jq74p0Z2o5A,Jq74p0Z2o5A,,,
60,Biggest Predictor Of P*rn Addiction | Dr K Healthy Gamer,Dr. K / HealthyGamerGG,English,Video,https://www.youtube.com/watch?v=pjbDuKwj1wA,pjbDuKwj1wA,,,
61,The Science Of Screen Addiction & How To Stop - Dr K Healthy Gamer,Dr. K / HealthyGamerGG,English,Video,https://www.youtube.com/watch?v=HYiG2m8fSiE,HYiG2m8fSiE,,,
62,The Porn Addiction Crisis No One Wants to Talk About - Dr. K,Dr. K / HealthyGamerGG,English,Video,https://www.youtube.com/watch?v=dm2qDrb3UVo,dm2qDrb3UVo,,,
63,Can Pornography Cause Erectile Dysfunction? | Top Tips to Naturally Reverse ED,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=QKMbNHddceA,QKMbNHddceA,,,
64,Porn-Induced Erectile Dysfunction Is Real - Joe Rogan Was Right About NoFap,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=jBy7JzIf4TY,jBy7JzIf4TY,,,
65,Day 13: Porn-Induced Erectile Dysfunction: How to Heal It w/ Dr. Trish Leigh,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=IbqL6BzZ4rg,IbqL6BzZ4rg,,,
66,The Truth Of Porn Induced ED (PIED) - Dr. Trish Leigh,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=YDM9I5yn4ZE,YDM9I5yn4ZE,,,
67,Can Watching Porn Cause Erectile Dysfunction? - Doctor Explains,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=aqbauFKg-SI,aqbauFKg-SI,,,
68,Porn Induced Erectile Dysfunction - Dr. Kelkar (MD) Psychiatrist,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=kbdy7RKZBSo,kbdy7RKZBSo,,,
69,The Truth About Porn-Induced Erectile Dysfunction (From a Sex Therapist),Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=eUFfugscMOU,eUFfugscMOU,,,
70,How To Overcome Porn Induced Erectile Dysfunction,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=qaB9k7-0NgQ,qaB9k7-0NgQ,,,
71,Is Porn The Reason For Your Erectile Dysfunction? The Science Explained,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=QV8e43LV7fc,QV8e43LV7fc,,,
72,Porn Induced Erectile Dysfunction - New Age of Tech,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=UbzoFAiyWNs,UbzoFAiyWNs,,,
73,Coach Noah Church on How to Recover from Porn-Induced ED,Porn-Induced ED (PIED),English,Video,https://www.youtube.com/watch?v=HlpYNYRBLw4,HlpYNYRBLw4,,,
74,How to CURE a porn addiction? - Doctor Explains,Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=RgKhA2qDdBg,RgKhA2qDdBg,,,
75,Porn Addiction Therapy Treatment And Recovery,Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=nkRNxS0dr9g,nkRNxS0dr9g,,,
76,Pornography Addiction Recovery: The Basics,Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=TR6b8t5veo4,TR6b8t5veo4,,,
77,TREATING PORNOGRAPHY ADDICTION,Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=avrC8mifXug,avrC8mifXug,,,
78,Pornography Addiction EXPERT Shares Top Relapse Prevention Strategies,Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=HZOcI8zxVKs,HZOcI8zxVKs,,,
79,Break the Cycle of Pornography Addiction | Ryan Soave & Dr. Andrew Huberman,Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=wvCTiY4clyM,wvCTiY4clyM,,,
80,What Porn Addiction Recovery Actually Looks Like,Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=Uv_0ntbirEw,Uv_0ntbirEw,,,
81,Therapist Reveals the Relationship Between Adult Entertainment and Addiction,Clinical / Therapy,English,Short,https://www.youtube.com/shorts/IAJa22JFeWM,IAJa22JFeWM,,,
82,Porn Addiction: Treatment Without Shame (Clip),Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=RKNXejsZmtM,RKNXejsZmtM,,,
83,Compulsive Sexual Behavior Disorder ICD-11,Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=4mvK8dXpW24,4mvK8dXpW24,,,
84,Dr. Stephanie Carnes discusses Compulsive Sexual Behavior Disorder,Clinical / Therapy,English,Video,https://www.youtube.com/watch?v=UvdUaIC8NH0,UvdUaIC8NH0,,,
85,Celebrate Recovery Testimony: Blair Shares Her Story of Overcoming Pornography Addiction,Personal Testimony,English,Video,https://www.youtube.com/watch?v=6_3-jqkZkkw,6_3-jqkZkkw,,,
86,Scott's Story: Overcoming a 25-year Porn Addiction (Part 1),Personal Testimony,English,Video,https://www.youtube.com/watch?v=BuGTlykrzu4,BuGTlykrzu4,,,
87,"Celebrate Recovery Testimony: Mason shares his victory over alcohol, drugs, and porn",Personal Testimony,English,Video,https://www.youtube.com/watch?v=Wle79tOhX0E,Wle79tOhX0E,,,
88,Sex Addiction Recovery Success Story (Counseling Intensive Testimony),Personal Testimony,English,Video,https://www.youtube.com/watch?v=k1DbmZsSo0U,k1DbmZsSo0U,,,
89,"I Couldn't Break My Porn Addiction, UNTIL I Did This...",Personal Testimony,English,Video,https://www.youtube.com/watch?v=YKwqtnAb_F4,YKwqtnAb_F4,,,
90,Overcoming Pornography Addiction | Carter's Story,Personal Testimony,English,Video,https://www.youtube.com/watch?v=0Tm4gjLBxAc,0Tm4gjLBxAc,,,
91,Delivered From 40 Years of Pornography Addiction | Testimony,Personal Testimony,English,Video,https://www.youtube.com/watch?v=lxBvRpou6Vo,lxBvRpou6Vo,,,
92,I WAS ADDICTED TO P0RN FOR 10 YEARS | MY STORY OF HOW I OVERCAME ADDICTION,Personal Testimony,English,Video,https://www.youtube.com/watch?v=OGLzufmqXEc,OGLzufmqXEc,,,
93,7 Years Trapped in Porn Addiction & Shame - My Testimony,Personal Testimony,English,Video,https://www.youtube.com/watch?v=ty-VKqvM_1A,ty-VKqvM_1A,,,
94,How God SAVED Me From My P*rn Addiction (MY TESTIMONY),Personal Testimony,English,Video,https://www.youtube.com/watch?v=dwFpVHZWxDg,dwFpVHZWxDg,,,
95,My Personal Journey Escaping Porn Addiction: Eli Nash | THAT'S AN ISSUE podcast Ep 11,Personal Testimony,English,Video,https://www.youtube.com/watch?v=-mBN18201h4,-mBN18201h4,,,
96,The Truth About Pornography | Dr. Jordan Peterson & Dr. Andrew Huberman,Andrew Huberman,English,Video,https://www.youtube.com/watch?v=lJlX37bnPnE,lJlX37bnPnE,,,
97,"If You Take A Break From Watching Porn, This Happens - Andrew Huberman",Andrew Huberman,English,Video,https://www.youtube.com/watch?v=9qJHRvHU8IM,9qJHRvHU8IM,,,
98,'Pornography is a Great Way to NOT Seek Women Out for Sex' REACTION,Andrew Huberman,English,Video,https://www.youtube.com/watch?v=BEVG_0GHhFQ,BEVG_0GHhFQ,,,
99,The Truth About Pornography | Dr. Jordan Peterson + Dr. Andrew Huberman (alt cut),Andrew Huberman,English,Video,https://www.youtube.com/watch?v=SVaUzx1wOh8,SVaUzx1wOh8,,,
100,Andrew Huberman: Explains What 30 Days Without Porn Does,Andrew Huberman,English,Video,https://www.youtube.com/watch?v=u6TVPwxHSIk,u6TVPwxHSIk,,,
101,The Science Behind P*rn Addiction is Scary,Andrew Huberman,English,Video,https://www.youtube.com/watch?v=H4gUzdhnFv8,H4gUzdhnFv8,,,
102,The Dangers of Porn Addiction ft. Andrew Huberman,Andrew Huberman,English,Video,https://www.youtube.com/watch?v=X7RMGUl_zSc,X7RMGUl_zSc,,,
103,PORN: The Digital Cocaine (w/ Jordan Peterson & Andrew Huberman),Andrew Huberman,English,Video,https://www.youtube.com/watch?v=4z_P5wR1JuM,4z_P5wR1JuM,,,
104,"How to Quit Video Game, Pornography & Social Media Addiction | Dr. Andrew Huberman",Andrew Huberman,English,Video,https://www.youtube.com/watch?v=XXYNvwrVKdE,XXYNvwrVKdE,,,
105,Why 90 Days of Being Porn Free? | NEUROSCIENTIST Andrew Huberman,Andrew Huberman,English,Video,https://www.youtube.com/watch?v=c7VCzQ9gt4o,c7VCzQ9gt4o,,,
106,How You Got Addicted to P*rn,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=H-ep8lFdZbA,H-ep8lFdZbA,,,
107,99% Effective way to Stop Watching Porn | Jordan Peterson,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=lPMtDDFWZsE,lPMtDDFWZsE,,,
108,Jordan Peterson Explains What To Do With Your Porn Addiction,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=6vOECW-k_4A,6vOECW-k_4A,,,
109,Jordan Peterson On Porn Addiction,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=9hLnhfLqj-k,9hLnhfLqj-k,,,
110,Masturbation to Porn Is An Addiction | Jordan Peterson,Jordan Peterson,English,Short,https://www.youtube.com/shorts/Q6PvfMqA50I,Q6PvfMqA50I,,,
111,Inside the mind of a P*rn addict | Jordan Peterson,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=ZsuChK6824Y,ZsuChK6824Y,,,
112,Jordan Peterson Discussing Porn Addiction,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=IS4cq8ABG6Q,IS4cq8ABG6Q,,,
113,Dr. Peterson on How Porn Is Destroying Young Men,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=8UYH4We6_Rw,8UYH4We6_Rw,,,
114,Dr. Jordan Peterson Explains The Dangerous Effects of Porn,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=FbBAHE76YaQ,FbBAHE76YaQ,,,
115,OVERCOME PORN ADDICTION | Jordan B Peterson Motivational Speech,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=Ijy4YntYcD4,Ijy4YntYcD4,,,
116,How To Stop Watching Porn The Simple Way - Jordan Peterson Motivation,Jordan Peterson,English,Video,https://www.youtube.com/watch?v=REjKAmFg8MU,REjKAmFg8MU,,,
117,Overcoming Pornography Addiction: The Healing Power of Jesus Christ,Faith - Christian,English,Video,https://www.youtube.com/watch?v=iXXQpTgSSD8,iXXQpTgSSD8,,,
118,"How To Stop Pornography, Sexual Sin & Masturbation | Apostle Joshua Selman",Faith - Christian,English,Video,https://www.youtube.com/watch?v=m6WuLKsaBa8,m6WuLKsaBa8,,,
119,How I Quit My Porn Addiction For Good - A Christian Perspective,Faith - Christian,English,Video,https://www.youtube.com/watch?v=eMA0rX_5sOg,eMA0rX_5sOg,,,
120,How to Overcome Your Addictions | Tony Evans Sermon,Faith - Christian,English,Video,https://www.youtube.com/watch?v=x7wB9Azs-hk,x7wB9Azs-hk,,,
121,A PRAYER TO OVERCOME PORNOGRAPHY ADDICTION,Faith - Christian,English,Video,https://www.youtube.com/watch?v=AAz7NLHfrfQ,AAz7NLHfrfQ,,,
122,HOW JESUS BROKE MY PORNOGRAPHY ADDICTION,Faith - Christian,English,Video,https://www.youtube.com/watch?v=WuD1F2iKNa0,WuD1F2iKNa0,,,
123,How to Stop Watching Porn in 2025 (3 Biblical Steps),Faith - Christian,English,Video,https://www.youtube.com/watch?v=vupXkFoSowM,vupXkFoSowM,,,
124,Quit Porn Addiction By Thinking Differently - A Christian Perspective,Faith - Christian,English,Video,https://www.youtube.com/watch?v=-Nd9ZblP2j4,-Nd9ZblP2j4,,,
125,The Biblical Way to Rewire Your Brain Away From Porn,Faith - Christian,English,Video,https://www.youtube.com/watch?v=xobB9gLNsik,xobB9gLNsik,,,
126,"You've Painfully Tried To Stop Masturbation & Pornography, Do This Now! | Apostle Joshua Selman",Faith - Christian,English,Video,https://www.youtube.com/watch?v=kFK7uMPhz9M,kFK7uMPhz9M,,,
127,Matt Fradd interview on combatting addiction,Faith - Catholic,English,Video,https://www.youtube.com/watch?v=hqAYSMBByjg,hqAYSMBByjg,,,
128,Overcoming Pornography Addiction (Matt Fradd),Faith - Catholic,English,Video,https://www.youtube.com/watch?v=E9RzJGuUdOE,E9RzJGuUdOE,,,
129,Matt Fradd - Battle Plan for Ministering to a Porn-Addicted Culture,Faith - Catholic,English,Video,https://www.youtube.com/watch?v=jE2clKsQtrM,jE2clKsQtrM,,,
130,What to do when a spouse is addicted to pornography,Faith - Catholic,English,Video,https://www.youtube.com/watch?v=AeMjPgyFPSw,AeMjPgyFPSw,,,
131,Here's the REAL Problem with Pornography (w/ Matt Fradd),Faith - Catholic,English,Video,https://www.youtube.com/watch?v=ucQ80i76GHI,ucQ80i76GHI,,,
132,Catholic Answers Presents 'Taking Down Goliath',Faith - Catholic,English,Video,https://www.youtube.com/watch?v=aCw4qQsewUU,aCw4qQsewUU,,,
133,Busting Porn Myths & How to Break a Pornography Addiction - Matt Fradd | American Thought Leaders,Faith - Catholic,English,Video,https://www.youtube.com/watch?v=3uhdFdcXHXg,3uhdFdcXHXg,,,
134,Supporting a Recovering Porn User,Faith - Catholic,English,Video,https://www.youtube.com/watch?v=gmPjT2CYAj4,gmPjT2CYAj4,,,
135,Is porn addiction a myth? (with Matt Fradd),Faith - Catholic,English,Video,https://www.youtube.com/watch?v=2I7GP7SKdz4,2I7GP7SKdz4,,,
136,Helping Women Heal From Porn Addiction | EWTN News In Depth,Faith - Catholic,English,Video,https://www.youtube.com/watch?v=4SEKRPE15bY,4SEKRPE15bY,,,
137,LDS Addiction Recovery For Porn Addiction,Faith - LDS,English,Video,https://www.youtube.com/watch?v=Ha-jCnmV1uw,Ha-jCnmV1uw,,,
138,Surviving LDS Church 12-Step Pornography 'Addiction' Program,Faith - LDS,English,Video,https://www.youtube.com/watch?v=JAo_S7k0lKk,JAo_S7k0lKk,,,
139,#1348: Surviving the LDS Church's 12-Step Pornography 'Addiction' Program with MasterPeace,Faith - LDS,English,Video,https://www.youtube.com/watch?v=FTvQvBtZtDw,FTvQvBtZtDw,,,
140,Healing From Pornography Addiction | 3 Mormons,Faith - LDS,English,Video,https://www.youtube.com/watch?v=p8mwP0d4jBc,p8mwP0d4jBc,,,
141,Mormon 12-Step Addiction Recovery Program (playlist),Faith - LDS,English,Playlist,https://www.youtube.com/playlist?list=PLv5QBdw3FlhQW-r_zpRWMQK6wYg34r-oc,PLv5QBdw3FlhQW-r_zpRWMQK6wYg34r-oc,,,
142,Help Overcoming Pornography (playlist),Faith - LDS,English,Playlist,https://www.youtube.com/playlist?list=PLAYgY8SPtEWHfaVvDlZvMEvSO2OnfzXXb,PLAYgY8SPtEWHfaVvDlZvMEvSO2OnfzXXb,,,
143,Twelve Steps to Recovery,Faith - LDS,English,Video,https://www.youtube.com/watch?v=w8y2RyQz44M,w8y2RyQz44M,,,
144,Step 1: Honesty - David's Story about Sex Addiction Recovery,Faith - LDS,English,Video,https://www.youtube.com/watch?v=W_DtmXXpw6Q,W_DtmXXpw6Q,,,
145,Forgiveness in Overcoming Pornography,Faith - LDS,English,Video,https://www.youtube.com/watch?v=1FiyyhDUeBE,1FiyyhDUeBE,,,
146,How to stop watching porn | Mufti Menk,Faith - Islam,English,Video,https://www.youtube.com/watch?v=g8M-a2HHp6M,g8M-a2HHp6M,,,
147,Solution to Stop Watching Pornography In Islam - Animated,Faith - Islam,English,Video,https://www.youtube.com/watch?v=MfutmhTe-v4,MfutmhTe-v4,,,
148,How I Quit Porn & Masturbation as a Muslim (My 6-Year Battle),Faith - Islam,English,Video,https://www.youtube.com/watch?v=sB7tL9uBHXM,sB7tL9uBHXM,,,
149,Prayer to overcome porn addiction - Mufti Menk,Faith - Islam,English,Video,https://www.youtube.com/watch?v=dWF5hLW2t-c,dWF5hLW2t-c,,,
150,5 WAYS TO STOP WATCHING PORN IN ISLAM | Nouman Ali Khan,Faith - Islam,English,Video,https://www.youtube.com/watch?v=xUsasjxb9q0,xUsasjxb9q0,,,
151,How To Quit Porn Addiction In Islam: A Guide for Muslim Youth | Mufti Menk,Faith - Islam,English,Video,https://www.youtube.com/watch?v=Bb7Fnce37e4,Bb7Fnce37e4,,,
152,How To Stop Masturbating In Islam,Faith - Islam,English,Video,https://www.youtube.com/watch?v=c92pDmWx558,c92pDmWx558,,,
153,HOW TO QUIT PORN ADDICTION (Tips & Tricks) - Animated,Faith - Islam,English,Video,https://www.youtube.com/watch?v=46TbX6m-foI,46TbX6m-foI,,,
154,I made an oath to stop watching pornography but I keep doing it #hudatv,Faith - Islam,English,Video,https://www.youtube.com/watch?v=E_PuNmE36P4,E_PuNmE36P4,,,
155,Ultimate Islamic Guide To Masturbation Addiction,Faith - Islam,English,Video,https://www.youtube.com/watch?v=7BmTOLRllKI,7BmTOLRllKI,,,
156,Porn Addiction Can Ruin Your Life - Sadhguru,Faith - Eastern / Sadhguru,English,Video,https://www.youtube.com/watch?v=tYIkfkGJxTE,tYIkfkGJxTE,,,
157,Porn Addiction Is Ruining Your Brain | Sadhguru,Faith - Eastern / Sadhguru,English,Video,https://www.youtube.com/watch?v=D4FjROvGL6g,D4FjROvGL6g,,,
